n,p_removed,T,binder,binder_err,n_realizations
28,0.1,4.618,0.06457805574566002,0.04701023479145877,12
28,0.1,4.644,0.06511343508834676,0.03707075317790973,12
28,0.1,4.67,-0.027043176183183203,0.06734690705147993,12
28,0.1,4.696,-0.057060630052979865,0.034465335468871434,12
28,0.1,4.722,-0.08746617176769726,0.03876923632019582,12
28,0.1,4.748,-0.2781956415084162,0.05669947312136832,12
28,0.1,4.774,-0.4324055346247279,0.05760868288692627,12
28,0.1,4.8,-0.37781946729126453,0.13618310088870786,12
32,0.1,3.5,0.5780018530068868,0.08854417702082978,12
32,0.1,3.526,0.6559881659949514,0.010545860208803094,12
32,0.1,3.552,0.6468633102138326,0.019649268488054965,12
32,0.1,3.578,0.6664938912522048,1.9472368094673426e-06,12
32,0.1,3.604,0.666474941304648,3.7574284391596993e-06,12
32,0.1,3.63,0.6664407252789571,5.793490712819313e-06,12
32,0.1,3.656,0.5745931470615291,0.09182002278583906,12
32,0.1,3.682,0.6663696270390794,5.019841281406508e-06,12
32,0.1,3.708,0.6663038113181844,5.228835268242995e-06,12
32,0.1,3.734,0.6662467831577125,9.344157649152902e-06,12
32,0.1,3.76,0.666140612601661,1.285069871150938e-05,12
32,0.1,3.786,0.6660193447056072,2.1088620125639335e-05,12
32,0.1,3.812,0.6658879932790546,2.3930677722258026e-05,12
32,0.1,3.838,0.665653391269811,3.372494246563545e-05,12
32,0.1,3.864,0.665286318239056,5.593402589822901e-05,12
32,0.1,3.89,0.6647318782984054,5.805984318343683e-05,12
32,0.1,3.916,0.6638477933683163,9.51303730031527e-05,12
32,0.1,3.942,0.6622368019446035,0.0002116039143978418,12
32,0.1,3.968,0.6578385646903547,0.0009784611286165314,12
32,0.1,3.994,0.6449913374922963,0.0024182202511022818,12
32,0.1,4.02,0.5720631079155305,0.017297354496165804,12
32,0.1,4.046,0.3993171918595399,0.027036053894174506,12
32,0.1,4.072,0.2111432597314182,0.04945012007105402,12
32,0.1,4.098,0.14038897672194056,0.03538265744572522,12
32,0.1,4.124,0.14841782795791028,0.04602894552214441,12
32,0.1,4.15,0.03524296319508018,0.044521491864312035,12
32,0.1,4.176,0.03548662870670646,0.06900508900952833,12
32,0.1,4.202,0.03899462430375337,0.03526970871494843,12
32,0.1,4.228,0.05361005767061274,0.021310464425967436,12
32,0.1,4.254,0.03389884063127732,0.019883655932284975,12
32,0.1,4.28,0.0014726647440252056,0.0473511387034778,12
32,0.1,4.306,0.0030207901843036975,0.041827195989021085,12
32,0.1,4.332,0.051613281963239,0.042379876562762625,12
32,0.1,4.358,0.03013033393456188,0.0594424684900366,12
32,0.1,4.384,0.060953628532271105,0.04104498934373461,12
32,0.1,4.41,0.035710941806830064,0.06110504188330107,12
32,0.1,4.436,0.08702253166196387,0.07887340676542845,12
32,0.1,4.462,0.0719777313624262,0.054408015092787206,12
32,0.1,4.488,-0.11523554042498757,0.07528557238773671,12
32,0.1,4.514,-0.24776854714211197,0.0677114859409402,12
32,0.1,4.54,-0.1565823779373198,0.1194153058701462,12
32,0.1,4.566,-0.3161334501870507,0.12760374138545108,12
32,0.1,4.592,-0.3252396682864671,0.12971163386798684,12
32,0.1,4.618,0.1369839137014416,0.2665877633249119,12
32,0.1,4.644,0.2524769442744508,0.2692227119142097,12
32,0.1,4.67,0.42016469580707705,0.24962312759070057,12
32,0.1,4.696,0.4120530466641503,0.25102253634680566,12
32,0.1,4.722,0.8476502488480836,0.15234975115191648,12
32,0.1,4.748,1.0,0.0,12
32,0.1,4.774,0.8490674481350472,0.15093255186495277,12
32,0.1,4.8,1.0,0.0,12
24,0.2,3.0,0.6664346218868297,2.8967300159968175e-06,12
24,0.2,3.026,0.6664088918667418,2.399810797088942e-06,12
24,0.2,3.052,0.6663750144830364,4.674696483219572e-06,12
24,0.2,3.078,0.6663428249166446,5.230255753912556e-06,12
24,0.2,3.104,0.6662976417090518,5.734094077292897e-06,12
24,0.2,3.13,0.6662258027102617,5.937151906056878e-06,12
24,0.2,3.156,0.6661816909989285,8.139941464179166e-06,12
24,0.2,3.182,0.6660988189901018,9.083255308847842e-06,12
24,0.2,3.208,0.665998330346941,1.4285194950109178e-05,12
24,0.2,3.234,0.6658382738841141,2.159223545981595e-05,12
24,0.2,3.26,0.665744114366395,2.072422846745502e-05,12
24,0.2,3.286,0.6655483055171596,1.786733558843811e-05,12
24,0.2,3.312,0.6652592165048928,3.248356850860868e-05,12
24,0.2,3.338,0.6648408660270876,6.0625127455585016e-05,12
24,0.2,3.364,0.6642772407548517,6.363886233429035e-05,12
24,0.2,3.39,0.6632199463753068,0.00014409867487262981,12
24,0.2,3.416,0.6619286796823507,0.0002604618723829204,12
24,0.2,3.442,0.6596859795684071,0.0005030157872994743,12
24,0.2,3.468,0.6533564144324603,0.0011945351971672778,12
24,0.2,3.494,0.6385017624706019,0.002175542840997674,12
24,0.2,3.52,0.5847882493625812,0.01579398105796425,12
24,0.2,3.546,0.4329582484976202,0.03712331119535062,12
24,0.2,3.572,0.39601667804304874,0.03198188410165746,12
24,0.2,3.598,0.20036495034126414,0.033265977996525795,12
24,0.2,3.624,0.16475507866463646,0.0455909286399928,12
24,0.2,3.65,0.12162615275555033,0.030902958216364674,12
24,0.2,3.676,0.08140743124345161,0.0512166625605524,12
24,0.2,3.702,0.08683028153857957,0.03392785499079323,12
24,0.2,3.728,0.010440320453023816,0.0267388089049017,12
24,0.2,3.754,0.034204188386769085,0.02835855906517844,12
24,0.2,3.78,0.06809033519779774,0.01620094802124198,12
24,0.2,3.806,0.06088394491771654,0.026217770691591983,12
24,0.2,3.832,0.014292111746255646,0.028988883425177397,12
24,0.2,3.858,0.01524247778470906,0.0275349329403637,12
