t,rho
7240,0.01884267
7250,0.01986667
7260,0.01949333
7270,0.01994133
7280,0.01908800
7290,0.02023467
7300,0.01990933
7310,0.01904533
7320,0.01902400
7330,0.02010133
7340,0.01985067
7350,0.01962133
7360,0.01942400
7370,0.02000000
7380,0.02051733
7390,0.02000533
7400,0.01915200
7410,0.01915200
7420,0.01970133
7430,0.01977600
7440,0.01964800
7450,0.02014400
7460,0.01909333
7470,0.02045333
7480,0.02046933
7490,0.02019733
7500,0.01977067
7510,0.01912000
7520,0.01944000
7530,0.02062400
7540,0.02002133
7550,0.01984533
7560,0.02055467
7570,0.02037333
7580,0.01980267
7590,0.01905600
7600,0.01905600
7610,0.01969600
7620,0.01889600
7630,0.01985600
7640,0.01930133
7650,0.01882133
7660,0.02024533
7670,0.01981867
7680,0.01963733
7690,0.02010667
7700,0.02065600
7710,0.01892267
7720,0.01918400
7730,0.02022400
7740,0.01998933
7750,0.02057067
7760,0.01916800
7770,0.01997333
7780,0.01907733
7790,0.02002667
7800,0.02006400
7810,0.01937067
7820,0.01942933
7830,0.01931733
7840,0.02022933
7850,0.01895467
7860,0.02021867
7870,0.02010133
7880,0.02056533
7890,0.01919467
7900,0.01972800
7910,0.01994133
7920,0.02011200
7930,0.01971733
7940,0.01985600
7950,0.01979200
7960,0.01958400
7970,0.01916267
7980,0.01907733
7990,0.01865600
8000,0.01965867
8010,0.02016000
8020,0.01954133
8030,0.01926933
8040,0.01931200
8050,0.01961600
8060,0.01993067
8070,0.01976000
8080,0.01917333
8090,0.02083200
8100,0.01902400
8110,0.01900800
8120,0.01952533
8130,0.01922667
8140,0.01927467
8150,0.01976533
8160,0.01952533
8170,0.02011200
8180,0.02034667
8190,0.01934400
8200,0.02032533
8210,0.01952000
8220,0.01823467
8230,0.01982400
8240,0.01870933
8250,0.02048533
8260,0.01851200
8270,0.02009600
8280,0.01971733
8290,0.01943467
8300,0.01901867
8310,0.01923200
8320,0.02028267
8330,0.01909333
8340,0.01935467
8350,0.01904000
8360,0.01998933
8370,0.02018133
8380,0.01986133
8390,0.01973333
8400,0.02035200
8410,0.01846933
8420,0.01947200
8430,0.01950933
8440,0.01955200
8450,0.01968533
8460,0.02080000
8470,0.02033600
8480,0.02014400
8490,0.01861333
8500,0.02056533
8510,0.01986667
8520,0.02001600
8530,0.01998400
8540,0.01899200
8550,0.02124800
8560,0.01963733
8570,0.02006400
8580,0.01937600
8590,0.01909333
8600,0.01881600
8610,0.01896000
8620,0.01920000
8630,0.01958933
8640,0.01964800
8650,0.02040533
8660,0.01990400
8670,0.01920000
8680,0.02036267
8690,0.02129067
8700,0.01917333
8710,0.02061867
8720,0.01930667
8730,0.01941333
8740,0.01963200
8750,0.01915733
8760,0.02025600
8770,0.02045867
8780,0.02027733
8790,0.01930667
8800,0.01900800
8810,0.01973333
8820,0.01963733
8830,0.02038400
8840,0.01906133
8850,0.01827200
8860,0.01995200
8870,0.01967467
8880,0.01907200
8890,0.01842133
8900,0.01976533
8910,0.01984533
8920,0.01909867
8930,0.01978133
8940,0.02089600
8950,0.01906133
8960,0.02038933
8970,0.02058667
8980,0.01935467
8990,0.02075733
9000,0.01974400
9010,0.01920000
9020,0.01939733
9030,0.02068800
9040,0.01908267
9050,0.01948800
9060,0.01961067
9070,0.01958400
9080,0.01967467
9090,0.01993067
9100,0.02045333
9110,0.01956800
9120,0.02038400
9130,0.01876800
9140,0.01920000
9150,0.01896533
9160,0.01882133
9170,0.01981867
9180,0.01969067
9190,0.02012800
9200,0.02013867
9210,0.01916267
9220,0.01948800
9230,0.01872000
9240,0.01875733
9250,0.01845333
9260,0.01986667
9270,0.02010133
9280,0.02001067
9290,0.01898667
9300,0.02002133
9310,0.01931733
9320,0.02075733
9330,0.02048533
9340,0.01929067
9350,0.01926400
9360,0.01963733
9370,0.01997333
9380,0.01914133
9390,0.01968533
9400,0.01873600
9410,0.01900800
9420,0.01993067
9430,0.01840000
9440,0.01931200
9450,0.01873600
9460,0.01970667
9470,0.02004267
9480,0.01985600
9490,0.01887467
9500,0.01837333
9510,0.02022400
9520,0.01981333
9530,0.01970133
9540,0.01987200
9550,0.01930133
9560,0.02094933
9570,0.01906667
9580,0.01874133
9590,0.01894400
9600,0.01963733
9610,0.01947733
9620,0.01929600
9630,0.01913067
9640,0.02013867
9650,0.01809600
9660,0.02031467
9670,0.01986133
9680,0.01981333
9690,0.01852800
9700,0.01909333
9710,0.01896000
9720,0.02001067
9730,0.01946667
9740,0.02143467
9750,0.02005333
9760,0.01951467
9770,0.01969600
9780,0.01880533
9790,0.01906667
9800,0.01958400
9810,0.01955733
9820,0.01962667
9830,0.01889067
9840,0.01977600
9850,0.01934933
9860,0.02013333
9870,0.01990933
9880,0.01978667
9890,0.01990400
9900,0.02010667
9910,0.01908800
9920,0.01964267
9930,0.01934400
9940,0.01926933
9950,0.01910933
