temp_idx,E,M
11,-0.83406883,0.00160340
12,-0.82118851,0.00223656
13,-0.80768463,0.00171514
14,-0.79521375,0.00129389
15,-0.78419086,0.00113956
0,-1.11407411,0.30506768
1,-1.07755921,0.26570604
2,-1.04028575,0.21349166
3,-1.00018004,0.12786919
4,-0.96356669,0.02097799
5,-0.93961986,0.00478240
6,-0.91716422,0.00429198
7,-0.89841389,0.00732090
8,-0.88190519,0.00229631
9,-0.86436708,0.00449934
10,-0.84897780,0.00273807
11,-0.83417059,0.00100250
12,-0.82092948,0.00126080
13,-0.80746641,0.00238312
14,-0.79540065,0.00194851
15,-0.78400890,0.00116598
0,-1.11409406,0.30300355
1,-1.07780332,0.26284522
2,-1.03984104,0.20891284
3,-1.00037889,0.12773523
4,-0.96327976,0.02127259
5,-0.93946813,0.00597772
6,-0.91690126,0.00089232
7,-0.89781392,0.00290983
8,-0.88271054,0.00286470
9,-0.86433549,0.00235870
10,-0.84942293,0.00413359
11,-0.83366264,0.00097861
12,-0.82071393,0.00337450
13,-0.80731084,0.00218380
14,-0.79550112,0.00204700
15,-0.78412210,0.00088305
0,-1.11404658,0.30390474
1,-1.07739461,0.25811300
2,-1.04018365,0.21169850
3,-1.00036677,0.12499583
4,-0.96360986,0.02298315
5,-0.93829552,0.00668270
6,-0.91750221,0.00497309
7,-0.89787737,0.00158996
8,-0.88251357,0.00644855
9,-0.86422417,0.00495512
10,-0.84888082,0.00258628
11,-0.83348921,0.00265015
12,-0.82113191,0.00054252
13,-0.80779732,0.00189195
14,-0.79589348,0.00192759
15,-0.78335175,0.00258034
0,-1.11394911,0.30714185
1,-1.07840550,0.26340114
2,-1.04040262,0.21088610
3,-0.99940648,0.12565651
4,-0.96381057,0.01752649
5,-0.93887476,0.00699929
6,-0.91775007,0.00377817
7,-0.89755225,0.00293673
8,-0.88123199,0.00177269
9,-0.86475755,0.00226849
10,-0.84899790,0.00195898
11,-0.83387729,0.00152177
12,-0.82046933,0.00123257
13,-0.80792576,0.00170017
14,-0.79593997,0.00189054
15,-0.78360779,0.00091702
0,-1.11390077,0.30310802
1,-1.07892093,0.26123363
2,-1.04012049,0.21692763
3,-0.99965410,0.12909950
4,-0.96362537,0.01622662
5,-0.93961752,0.00643163
6,-0.91818156,0.00202059
7,-0.89815236,0.00313243
8,-0.88100153,0.00450829
9,-0.86461471,0.00132733
10,-0.84859833,0.00209970
11,-0.83411271,0.00335961
12,-0.82083193,0.00279119
13,-0.80769517,0.00124718
14,-0.79603898,0.00211635
15,-0.78442042,0.00179767
0,-1.11363728,0.30189151
1,-1.07890066,0.26572919
2,-1.04076983,0.21321069
3,-0.99959852,0.12968077
4,-0.96347125,0.01502446
5,-0.93948694,0.00557195
6,-0.91800409,0.00402559
7,-0.89882649,0.00362139
8,-0.87992194,0.00287959
9,-0.86494640,0.00394123
10,-0.84864159,0.00185614
11,-0.83457873,0.00191959
12,-0.82110240,0.00081394
13,-0.80833075,0.00163375
14,-0.79573798,0.00166196
15,-0.78333513,0.00133541
0,-1.11363092,0.30128521
1,-1.07904206,0.26957676
2,-1.04097229,0.21280221
3,-0.99920705,0.12644342
4,-0.96311176,0.01109532
5,-0.93912650,0.00587842
6,-0.91818600,0.00826481
7,-0.89834708,0.00292209
8,-0.88047057,0.00527621
9,-0.86517891,0.00368266
10,-0.84852496,0.00229568
11,-0.83457768,0.00274476
12,-0.82119697,0.00149517
13,-0.80923746,0.00213630
14,-0.79523089,0.00172767
15,-0.78455299,0.00182435
0,-1.11343134,0.30280633
1,-1.07929932,0.26719076
2,-1.04209141,0.21168866
3,-0.99927208,0.12465764
4,-0.96347746,0.01490935
5,-0.93931602,0.00605346
6,-0.91822843,0.00901793
7,-0.89777360,0.00150419
8,-0.88082503,0.00199258
9,-0.86436198,0.00272167
10,-0.84848675,0.00098743
11,-0.83451869,0.00182007
12,-0.82077564,0.00058789
13,-0.80865927,0.00308699
14,-0.79501132,0.00149039
15,-0.78426189,0.00282517
0,-1.11349884,0.30124946
1,-1.07859379,0.26600151
2,-1.04227969,0.21431497
3,-0.99995042,0.12544403
4,-0.96385424,0.01389273
5,-0.93923489,0.00519517
6,-0.91804670,0.00757923
7,-0.89777258,0.00327184
8,-0.88111127,0.00329089
9,-0.86471740,0.00398827
10,-0.84892213,0.00246563
11,-0.83447491,0.00134126
12,-0.82031209,0.00249817
13,-0.80864667,0.00255581
14,-0.79522486,0.00235348
15,-0.78410989,0.00117291
0,-1.11367337,0.30224533
1,-1.07801416,0.26535034
2,-1.04271417,0.21552456
3,-0.99994836,0.12824404
4,-0.96438164,0.01324370
5,-0.93915198,0.00696555
6,-0.91725171,0.00603426
7,-0.89795120,0.00213276
8,-0.88101536,0.00284810
9,-0.86446776,0.00178924
10,-0.84911006,0.00112287
11,-0.83477231,0.00086408
12,-0.82013574,0.00215985
13,-0.80866336,0.00166763
14,-0.79472929,0.00182788
15,-0.78418945,0.00338081
0,-1.11380513,0.30103118
1,-1.07863398,0.26303200
