p_removed,T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err,mean_degree,mean_degree_err,n_realizations
0.2,3.754,-0.7932711666666666,0.0002573311106435608,0.028024416666666666,0.0006388653111042448,0.0012656666666666667,5.074301464589521e-05,5.166666666666667e-06,4.897948447043822e-07,0.40389366666666665,0.00555226215204672,10.72504,0.4091024681556511,4.800048828125,0.0,12
0.2,3.78,-0.7827966666666667,0.00014069757666998817,0.026893249999999997,0.0006548033145012464,0.0011191666666666667,4.810890948376581e-05,3.5833333333333335e-06,2.599047999758855e-07,0.38564608333333333,0.005081186810272167,9.414679083333334,0.42889164112110234,4.800048828125,0.0,12
0.2,3.806,-0.7732764166666667,0.00017748458995562967,0.02549375,0.0005182367413410185,0.0010173333333333334,3.772956668211553e-05,3e-06,2.1320071635561043e-07,0.37193991666666665,0.0042208066611230605,8.4001935,0.33807543579190485,4.800048828125,0.0,12
0.2,3.832,-0.7637125,0.00015205777909011432,0.024366,0.0004995902260246831,0.0009256666666666667,3.6890775173873666e-05,2.4166666666666667e-06,3.361622383686939e-07,0.3638868333333334,0.0028976605475779763,7.61107225,0.2813059345832836,4.800048828125,0.0,12
0.2,3.858,-0.7544665833333334,0.00018687434841614962,0.022600833333333334,0.0003493249731534905,0.0007869166666666667,1.9617732521699066e-05,1.8333333333333333e-06,1.1236664374387368e-07,0.33776075,0.0032960710222493875,6.49827775,0.1540663078674109,4.800048828125,0.0,12
0.2,3.884,-0.7457634999999999,0.0001740940402440132,0.021020916666666667,0.0004137000717533017,0.0006924166666666667,2.5775681025401294e-05,1.4166666666666667e-06,1.486470975026408e-07,0.32759458333333336,0.001673118289295396,5.716407333333334,0.20649269884313146,4.800048828125,0.0,12
0.2,3.91,-0.7375065,0.0001430620494750388,0.021104583333333333,0.0003453520702109515,0.00070125,2.2941336583608728e-05,1.4166666666666667e-06,1.486470975026408e-07,0.3131891666666667,0.0042223003834139725,5.81847025,0.1884183847656964,4.800048828125,0.0,12
0.2,3.936,-0.7295115,0.00018806822988189447,0.019908416666666668,0.0004142212748280827,0.0006188333333333333,2.6596830904102356e-05,1.2499999999999999e-06,1.305582419667734e-07,0.31091908333333335,0.003301131535706407,5.0763965,0.21088922265214446,4.800048828125,0.0,12
0.2,3.962,-0.72152625,0.00013001276889505165,0.019587833333333336,0.000234897812512659,0.0006011666666666666,1.5832376366614757e-05,1e-06,6.384751070707751e-23,0.29508283333333335,0.003357361219933166,4.927341083333333,0.1284331282514225,4.800048828125,0.0,12
0.2,3.988,-0.7137406666666667,0.0001726159396645082,0.018498,0.0003465585787206091,0.0005374166666666666,1.994821262340782e-05,1e-06,6.384751070707751e-23,0.28311516666666664,0.0032891000238928158,4.382037749999999,0.15896310319203413,4.800048828125,0.0,12
